Polygon,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,Total Vertices
GF_3Space Polygon 2 - SMirro,"(0.0, 0.0)","(48.6, 0.0)","(48.6, 74.15)","(0.0, 74.15)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
GF_3Space Polygon 3 - SMirro,"(0.0, 0.0)","(40.35, 0.0)","(40.35, 10.5)","(0.0, 10.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
GF_3Space Polygon 4 - SMirro,"(0.0, 0.0)","(19.2, 0.0)","(19.2, 10.5)","(59.55, 10.5)","(59.55, 22.95)","(0.0, 22.95)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
GF_3Space Polygon 5 - SMirro,"(0.0, 0.0)","(59.55, 0.0)","(59.55, 9.85)","(0.0, 9.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_1Space Polygon 1 - SMirro,"(0.0, 0.0)","(343.5, 0.34)","(343.45, 51.49)","(339.2, 51.48)","(312.25, 51.46)","(312.24, 57.71)","(261.09, 57.66)","(261.07, 86.36)","(211.07, 86.31)","(211.09, 57.61)","(132.34, 57.53)","(132.32, 84.43)","(119.22, 84.42)","(119.21, 91.32)","(82.26, 91.28)","(82.29, 57.48)","(31.29, 57.43)","(31.3, 51.38)","(4.25, 51.15)","(-0.0, 51.15)",,,,,,,,,,,,,,,20
P_1Space Polygon 2 - SMirro,"(0.0, 0.0)","(107.65, 0.0)","(107.65, 33.0)","(84.65, 33.0)","(84.65, 47.25)","(0.0, 47.25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
P_1Space Polygon 3 - SMirro,"(0.0, 0.0)","(6.7, 0.0)","(20.8, 0.0)","(20.8, 18.55)","(0.0, 18.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
P_1Space Polygon 4 - SMirro,"(0.0, 0.0)","(20.8, 0.0)","(20.8, 27.7)","(0.0, 28.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_1Space Polygon 5 - SMirro,"(0.0, 0.0)","(0.35, -6.15)","(46.6, -6.15)","(46.6, 0.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_1Space Polygon 6 - SMirro,"(0.0, 0.0)","(6.55, 0.0)","(6.55, 64.4)","(0.8, 64.4)","(0.8, 86.4)","(20.8, 86.4)","(20.8, 87.4)","(20.8, 193.7)","(6.55, 193.7)","(6.55, 287.2)","(-39.85, 287.2)","(-39.85, 280.95)","(0.0, 280.95)","(0.0, 193.0)","(-6.9, 193.0)","(-6.9, 179.9)","(0.0, 179.9)","(0.0, 101.15)","(-5.1, 101.15)","(-5.1, 51.15)","(0.0, 51.15)",,,,,,,,,,,,,,21
P_1Space Polygon 7 - SMirro,"(0.0, 0.0)","(106.3, 0.0)","(106.3, 33.0)","(0.0, 33.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_1Space Polygon 8 - SMirro,"(0.0, 0.0)","(47.25, 0.0)","(47.25, 107.6)","(0.0, 107.6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_1Space Polygon 9 - SMirro,"(0.0, 0.0)","(20.8, 0.2)","(20.8, 28.05)","(0.0, 28.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_1Space Polygon 10 - SMirro,"(0.0, 0.0)","(17.4, 0.0)","(17.4, 20.8)","(-1.15, 20.8)","(-1.15, 6.7)","(0.0, 6.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
P_1Space Polygon 11 - SMirro,"(0.0, 0.0)","(33.8, 0.0)","(33.8, 20.65)","(0.0, 20.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_1Space Polygon 12 - SMirro,"(0.0, 0.0)","(33.8, 0.0)","(33.8, 30.35)","(0.0, 30.35)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_1Space Polygon 14 - SMirro,"(0.0, 0.0)","(33.8, 0.0)","(33.8, 11.8)","(0.0, 11.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_1Space Polygon 20 - SMirro,"(0.0, 0.0)","(20.0, 0.0)","(20.0, 12.15)","(0.0, 12.15)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_1Space Polygon 21 - SMirro,"(0.0, 0.0)","(20.0, 0.0)","(20.0, 9.85)","(0.0, 9.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_1Space Polygon 23 - SMirro,"(0.0, 0.0)","(33.8, 0.0)","(33.8, 20.8)","(0.0, 20.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_2Space Polygon 1 - SMirro,"(0.0, 0.0)","(55.1, 0.37)","(55.09, 9.22)","(52.79, 9.22)","(52.76, 31.52)","(58.71, 31.53)","(58.68, 52.23)","(90.48, 52.27)","(90.51, 31.57)","(95.96, 31.57)","(95.94, 11.42)","(145.34, 11.49)","(145.24, 83.64)","(112.24, 83.59)","(112.25, 80.34)","(57.65, 80.27)","(57.5, 191.82)","(96.85, 191.87)","(96.84, 200.57)","(91.29, 200.57)","(81.44, 200.56)","(81.42, 219.91)","(58.47, 219.88)","(58.44, 240.53)","(51.84, 240.52)","(51.81, 262.82)","(54.76, 262.82)","(54.75, 271.67)","(0.0, 271.65)",,,,,,29
P_2Space Polygon 2 - SMirro,"(0.0, 0.0)","(31.8, 0.0)","(31.8, 20.7)","(0.0, 20.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_2Space Polygon 3 - SMirro,"(0.0, 0.0)","(43.15, 0.0)","(43.2, 6.2)","(0.0, 6.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_2Space Polygon 4 - SMirro,"(0.0, 0.0)","(16.1, 0.0)","(16.1, 24.45)","(0.0, 24.45)","(0.0, 22.15)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
P_2Space Polygon 5 - SMirro,"(0.0, 0.0)","(0.0, -13.95)","(18.7, -13.95)","(18.7, 2.15)","(0.0, 2.15)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
P_2Space Polygon 6 - SMirro,"(0.0, 0.0)","(105.0, -0.0)","(105.0, 33.0)","(23.0, 33.0)","(0.0, 33.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
P_2Space Polygon 7 - SMirro,"(0.0, 0.0)","(37.4, 0.0)","(37.4, 33.0)","(12.0, 33.0)","(0.0, 33.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
P_2Space Polygon 8 - SMirro,"(0.0, 0.0)","(49.4, 0.0)","(49.35, 20.2)","(54.8, 20.2)","(54.8, 40.85)","(53.8, 40.85)","(33.0, 40.85)","(33.0, 34.8)","(0.0, 34.8)",,,,,,,,,,,,,,,,,,,,,,,,,,9
P_2Space Polygon 9 - SMirro,"(0.0, 0.0)","(20.8, 0.0)","(20.8, 26.25)","(0.0, 26.25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_2Space Polygon 10 - SMirro,"(0.0, 0.0)","(20.8, 0.0)","(20.5, 59.05)","(0.0, 59.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_2Space Polygon 11 - SMirro,"(0.0, 0.0)","(20.5, 0.0)","(20.8, 34.95)","(5.55, 34.95)","(5.55, 26.25)","(0.0, 26.25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
P_2Space Polygon 12 - SMirro,"(0.0, 0.0)","(20.8, 0.0)","(20.8, 19.35)","(0.0, 19.35)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_2Space Polygon 13 - SMirro,"(0.0, 0.0)","(9.85, 0.0)","(9.85, 19.35)","(8.85, 19.35)","(0.0, 19.35)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
P_2Space Polygon 14 - SMirro,"(0.0, 0.0)","(31.8, 0.0)","(31.8, 20.65)","(0.0, 20.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_2Space Polygon 15 - SMirro,"(0.0, 0.0)","(0.0, -2.95)","(22.3, -2.95)","(22.3, 40.9)","(2.1, 40.85)","(0.0, 40.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
P_2Space Polygon 16 - SMirro,"(0.0, 0.0)","(14.1, 0.0)","(14.1, 26.25)","(-19.7, 26.25)","(-19.7, 10.5)","(0.0, 10.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
P_2Space Polygon 17 - SMirro,"(0.0, 0.0)","(19.7, 0.0)","(19.7, 10.5)","(0.0, 10.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_2Space Polygon 23 - SMirro,"(0.0, 0.0)","(19.7, 0.0)","(19.7, 8.85)","(0.0, 8.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_2Space Polygon 24 - SMirro,"(0.0, 0.0)","(33.8, 0.0)","(33.8, 26.25)","(19.7, 26.25)","(19.7, 17.4)","(0.0, 17.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
P_3Space Polygon 1 - SMirro,"(0.0, 0.0)","(19.85, 0.0)","(24.25, 0.0)","(24.25, 39.35)","(0.0, 39.35)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
P_3Space Polygon 2 - SMirro,"(0.0, 0.0)","(36.75, 0.0)","(36.75, 3.95)","(36.75, 35.1)","(0.0, 35.1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
P_3Space Polygon 3 - SMirro,"(0.0, 0.0)","(0.0, -34.45)","(70.55, -34.45)","(70.55, -109.9)","(35.1, -109.9)","(35.1, -122.4)","(74.45, -122.4)","(74.45, -126.8)","(87.1, -126.8)","(87.1, -110.55)","(83.3, -110.55)","(83.3, -33.95)","(87.1, -33.8)","(87.1, -17.55)","(74.45, -17.55)","(74.45, 2.3)","(0.0, 2.3)",,,,,,,,,,,,,,,,,,17
P_3Space Polygon 4 - SMirro,"(0.0, 0.0)","(0.15, -3.8)","(76.75, -3.8)","(76.75, 0.0)","(76.75, 16.25)","(0.0, 16.25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
P_3Space Polygon 5 - SMirro,"(0.0, 0.0)","(75.45, 0.0)","(75.45, 39.4)","(0.0, 39.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_3Space Polygon 6 - SMirro,"(0.0, 0.0)","(15.25, 0.0)","(15.25, 9.85)","(75.45, 9.85)","(75.45, 22.3)","(15.25, 22.3)","(15.25, 31.15)","(0.0, 31.15)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
P_3Space Polygon 7 - SMirro,"(0.0, 0.0)","(60.2, 0.0)","(60.2, 8.85)","(0.0, 8.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_3Space Polygon 8 - SMirro,"(0.0, 0.0)","(60.2, 0.0)","(60.2, 9.85)","(0.0, 9.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
P_3Space Polygon 9 - SMirro,"(0.0, 0.0)","(36.1, -0.65)","(36.1, 146.0)","(0.0, 146.0)","(0.0, 110.9)","(0.0, 36.75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
P_3Space Polygon 10 - SMirro,"(0.0, 0.0)","(22.8, 0.0)","(22.8, 74.15)","(0.0, 74.15)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_1Space Polygon 1 - SMirro,"(0.0, 0.0)","(154.1, 0.2)","(154.05, 58.05)","(133.4, 58.05)","(133.4, 90.55)","(154.05, 90.55)","(155.1, 111.45)","(119.25, 112.0)","(119.25, 144.0)","(115.2, 144.0)","(115.2, 148.6)","(0.05, 148.6)","(0.05, 97.4)","(5.45, 96.55)","(31.7, 96.55)","(31.7, 90.55)","(81.55, 90.55)","(81.55, 58.05)","(31.7, 58.05)","(30.35, 52.0)","(5.45, 52.0)","(-0.0, 51.15)",,,,,,,,,,,,,22
2F_1Space Polygon 2 - SMirro,"(0.0, 0.0)","(32.5, 0.0)","(32.5, 30.2)","(0.0, 30.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_1Space Polygon 3 - SMirro,"(0.0, 0.0)","(32.5, 0.0)","(32.5, 19.65)","(0.0, 19.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_1Space Polygon 5 - SMirro,"(0.0, 0.0)","(10.45, 0.0)","(10.45, 9.7)","(0.0, 9.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_1Space Polygon 6 - SMirro,"(0.0, 0.0)","(19.2, 0.0)","(19.2, 8.8)","(0.0, 8.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_1Space Polygon 7 - SMirro,"(0.0, 0.0)","(6.05, -1.35)","(44.55, -1.35)","(44.55, 5.7)","(35.75, 5.7)","(35.75, 14.45)","(26.05, 14.45)","(26.05, 5.9)","(0.0, 5.9)",,,,,,,,,,,,,,,,,,,,,,,,,,9
2F_1Space Polygon 8 - SMirro,"(0.0, 0.0)","(32.0, 0.0)","(32.0, 105.0)","(0.0, 105.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_1Space Polygon 9 - SMirro,"(0.0, 0.0)","(32.5, 0.0)","(32.5, 8.85)","(0.0, 8.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_1Space Polygon 10 - SMirro,"(0.0, 0.0)","(32.5, 0.0)","(32.5, 11.8)","(0.0, 11.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_1Space Polygon 11 - SMirro,"(0.0, 0.0)","(32.5, 0.0)","(32.5, 9.85)","(0.0, 9.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_1Space Polygon 12 - SMirro,"(0.0, 0.0)","(32.5, 0.0)","(32.5, 15.75)","(0.0, 15.75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_1Space Polygon 13 - SMirro,"(0.0, 0.0)","(32.5, 0.0)","(32.5, 10.15)","(0.0, 10.15)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_1Space Polygon 14 - SMirro,"(0.0, 0.0)","(32.5, 0.0)","(32.5, 11.5)","(0.0, 11.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_1Space Polygon 16 - SMirro,"(0.0, 0.0)","(115.15, 0.0)","(115.15, 4.6)","(119.25, 4.6)","(119.25, 36.6)","(188.4, 37.15)","(189.45, 58.05)","(133.35, 58.05)","(133.35, 90.55)","(189.45, 90.55)","(189.4, 148.4)","(0.0, 148.6)","(0.0, 97.45)","(5.4, 96.6)","(31.0, 96.6)","(31.65, 90.55)","(81.5, 90.5)","(81.5, 58.05)","(31.65, 58.05)","(31.65, 52.05)","(5.4, 52.05)","(0.0, 51.2)",,,,,,,,,,,,,22
2F_1Space Polygon 17 - SMirro,"(0.0, 0.0)","(32.45, 0.0)","(32.45, 30.15)","(0.0, 30.15)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_1Space Polygon 18 - SMirro,"(0.0, 0.0)","(-0.05, -19.7)","(32.45, -19.7)","(32.45, 0.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_1Space Polygon 19 - SMirro,"(0.0, 0.0)","(9.7, 0.0)","(9.7, 9.8)","(18.5, 9.8)","(18.5, 16.4)","(-26.05, 15.75)","(-26.05, 9.15)","(0.0, 9.15)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
2F_1Space Polygon 21 - SMirro,"(0.0, 0.0)","(19.65, 0.0)","(19.65, 8.8)","(0.0, 8.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_2Space Polygon 1 - SMirro,"(0.0, 0.0)","(134.05, 0.25)","(135.8, 57.45)","(81.5, 58.05)","(81.5, 90.55)","(135.05, 90.75)","(135.8, 111.45)","(83.15, 112.0)","(83.15, 144.0)","(79.05, 144.0)","(79.05, 148.6)","(-0.05, 148.6)","(-0.0, 93.8)","(8.85, 93.8)","(8.8, 96.1)","(30.8, 96.1)","(30.8, 89.55)","(51.15, 89.55)","(51.15, 59.05)","(30.8, 59.05)","(30.8, 52.95)","(8.85, 52.95)","(8.85, 54.75)","(-0.0, 54.75)",,,,,,,,,,,24
2F_2Space Polygon 2 - SMirro,"(0.0, 0.0)","(54.75, 0.1)","(54.73, 8.95)","(52.93, 8.95)","(52.89, 30.95)","(58.99, 30.96)","(58.96, 51.31)","(89.46, 51.36)","(89.49, 31.01)","(96.04, 31.02)","(96.08, 9.03)","(93.78, 9.02)","(93.8, 0.17)","(148.6, 0.27)","(148.46, 79.32)","(143.86, 79.31)","(143.85, 83.61)","(111.85, 83.55)","(111.2, 135.7)","(90.5, 136.42)","(90.4, 81.71)","(57.9, 81.66)","(57.2, 135.6)","(0.0, 137.25)",,,,,,,,,,,24
2F_2Space Polygon 3 - SMirro,"(0.0, 0.0)","(32.0, 0.0)","(32.0, 104.8)","(0.0, 104.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_2Space Polygon 4 - SMirro,"(0.0, 0.0)","(12.5, 0.0)","(12.5, 23.6)","(-20.0, 23.6)","(-20.0, 9.5)","(0.0, 9.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
2F_2Space Polygon 5 - SMirro,"(0.0, 0.0)","(0.05, -9.5)","(0.1, -9.5)","(20.0, -9.5)","(20.0, 0.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
2F_2Space Polygon 6 - SMirro,"(0.0, 0.0)","(30.5, 0.0)","(30.5, 20.35)","(0.0, 20.35)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_2Space Polygon 7 - SMirro,"(0.0, 0.0)","(43.15, 0.0)","(43.15, 5.9)","(31.85, 5.9)","(31.85, 12.2)","(23.3, 12.2)","(23.3, 6.55)","(0.0, 6.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
2F_2Space Polygon 8 - SMirro,"(0.0, 0.0)","(0.0, -1.8)","(15.4, -1.8)","(15.4, 21.5)","(0.0, 21.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
2F_2Space Polygon 10 - SMirro,"(0.0, 0.0)","(16.05, 0.0)","(16.05, 11.3)","(-0.05, 11.3)","(0.0, 9.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
2F_2Space Polygon 11 - SMirro,"(0.0, 0.0)","(-0.1, -12.8)","(32.3, -12.8)","(32.4, 0.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_2Space Polygon 12 - SMirro,"(0.0, 0.0)","(32.5, 0.0)","(32.4, 9.85)","(0.0, 9.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_2Space Polygon 15 - SMirro,"(0.0, 0.0)","(32.5, 0.0)","(32.5, 12.8)","(0.0, 12.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_2Space Polygon 16 - SMirro,"(0.0, 0.0)","(20.0, 0.0)","(20.0, 9.5)","(0.0, 9.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_2Space Polygon 17 - SMirro,"(0.0, 0.0)","(32.5, 0.0)","(32.5, 23.6)","(20.0, 23.6)","(20.0, 14.1)","(0.0, 14.1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
2F_2Space Polygon 19 - SMirro,"(0.0, 0.0)","(23.3, 0.0)","(23.3, -4.95)","(31.85, -4.95)","(31.85, 0.65)","(43.15, 0.65)","(43.15, 6.55)","(0.0, 6.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
2F_2Space Polygon 20 - SMirro,"(0.0, 0.0)","(15.45, 0.0)","(15.45, 23.3)","(0.0, 23.3)","(0.0, 21.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
2F_2Space Polygon 21 - SMirro,"(0.0, 0.0)","(0.0, -2.3)","(16.1, -2.3)","(16.1, 9.0)","(0.0, 9.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
2F_3Space Polygon 1 - SMirro,"(0.0, 0.0)","(71.85, 0.0)","(71.85, 4.6)","(75.1, 4.6)","(75.1, 37.4)","(75.45, 52.5)","(52.15, 52.5)","(52.15, 59.05)","(32.45, 59.05)","(32.45, 89.55)","(52.15, 89.55)","(51.4, 96.5)","(58.7, 96.8)","(75.45, 96.8)","(75.15, 111.25)","(75.15, 148.65)","(0.0, 148.65)","(0.0, 128.8)","(-12.65, 128.8)","(-12.65, 112.55)","(-28.9, 112.55)","(-28.9, 36.1)","(-12.65, 36.1)","(-12.65, 19.85)","(0.0, 19.85)",,,,,,,,,,25
2F_3Space Polygon 2 - SMirro,"(0.0, 0.0)","(14.45, 0.3)","(19.7, 0.3)","(19.7, 33.1)","(19.05, 34.25)","(15.1, 34.25)","(15.1, 65.75)","(58.75, 65.75)","(58.75, 0.3)","(73.85, -0.05)","(73.85, 70.6)","(106.65, 70.6)","(106.65, 72.95)","(111.25, 72.95)","(111.25, 109.55)","(91.4, 109.55)","(91.4, 122.2)","(75.15, 122.2)","(75.15, 138.4)","(-1.3, 138.4)","(-1.3, 122.2)","(-17.55, 122.2)","(-17.55, 109.55)","(-37.4, 109.55)","(-37.4, 37.7)","(-32.8, 37.7)","(-32.8, 34.4)","(0.0, 34.4)",,,,,,,28
2F_3Space Polygon 3 - SMirro,"(0.0, 0.0)","(43.65, 0.0)","(43.65, 9.85)","(0.0, 9.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_3Space Polygon 4 - SMirro,"(0.0, 0.0)","(43.65, 0.0)","(43.65, 11.8)","(0.0, 11.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_3Space Polygon 5 - SMirro,"(0.0, 0.0)","(43.65, 0.0)","(43.65, 9.85)","(39.7, 9.85)","(39.05, 11.0)","(0.0, 11.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
2F_3Space Polygon 6 - SMirro,"(0.0, 0.0)","(39.05, 0.0)","(39.05, 32.8)","(19.2, 32.8)","(11.3, 32.8)","(0.0, 32.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
2F_3Space Polygon 7 - SMirro,"(0.0, 0.0)","(11.3, 0.0)","(11.3, 0.65)","(11.3, 16.75)","(0.0, 16.75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
2F_3Space Polygon 8 - SMirro,"(0.0, 0.0)","(25.1, 0.0)","(25.1, 16.75)","(0.0, 16.75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_3Space Polygon 9 - SMirro,"(0.0, 0.0)","(7.9, -0.65)","(7.9, 10.5)","(0.0, 10.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2F_3Space Polygon 10 - SMirro,"(0.0, 0.0)","(11.3, 0.0)","(11.3, -5.6)","(19.2, -5.6)","(19.2, 0.0)","(44.3, 0.0)","(44.0, 7.3)","(0.0, 6.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
2F_3Space Polygon 11 - SMirro,"(0.0, 0.0)","(30.5, 0.0)","(30.5, 19.7)","(0.0, 19.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_1Space Polygon 1 - SMirro,"(0.0, 0.0)","(15.0, 15.0)","(15.0, 328.45)","(0.0, 343.45)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_1Space Polygon 2 - SMirro,"(0.0, 0.0)","(15.0, 15.0)","(15.0, 36.15)","(14.9, 52.0)","(5.15, 52.0)","(5.4, 51.15)","(-0.0, 51.15)",,,,,,,,,,,,,,,,,,,,,,,,,,,,7
3T_1Space Polygon 3 - SMirro,"(0.0, 0.0)","(-1.25, 0.03)","(-1.71, -9.41)","(15.0, -10.59)","(35.15, -11.9)","(51.09, 2.1)","(0.0, 5.41)",,,,,,,,,,,,,,,,,,,,,,,,,,,,7
3T_1Space Polygon 4 - SMirro,"(0.0, 0.0)","(15.0, 15.0)","(15.0, 328.5)","(0.0, 343.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_1Space Polygon 5 - SMirro,"(0.0, 0.0)","(15.0, 15.0)","(15.0, 35.21)","(15.35, 52.1)","(5.6, 52.1)","(5.45, 50.85)","(0.0, 51.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,7
3T_1Space Polygon 6 - SMirro,"(0.0, 0.0)","(-1.2, 0.08)","(-1.82, -9.5)","(35.1, -11.9)","(51.04, 2.1)","(0.0, 5.41)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
3T_1Space Polygon 7 - SMirro,"(0.0, 0.0)","(-32.5, 0.0)","(-32.5, 49.85)","(-38.55, 49.85)","(-38.55, 57.1)","(-38.55, 66.6)","(-75.55, 66.5)","(-75.2, -90.1)","(-32.3, -90.45)","(-32.5, -51.85)","(0.0, -51.85)","(-0.3, -90.1)","(43.4, -90.1)","(43.05, 66.5)","(6.1, 66.6)","(6.0, 49.85)","(0.0, 49.85)",,,,,,,,,,,,,,,,,,17
3T_1Space Polygon 10 - SMirro,"(0.0, 0.0)","(44.55, 0.0)","(44.55, 7.05)","(35.75, 7.05)","(35.75, 15.75)","(26.05, 15.75)","(26.05, 7.25)","(0.0, 7.25)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
3T_1Space Polygon 11 - SMirro,"(0.0, 0.0)","(26.05, 0.0)","(26.05, 19.0)","(0.0, 19.25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_1Space Polygon 12 - SMirro,"(0.0, 0.0)","(10.5, 0.0)","(10.5, 9.7)","(0.0, 9.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_1Space Polygon 17 - SMirro,"(0.0, 0.0)","(32.5, 0.0)","(32.2, 8.0)","(32.5, 15.75)","(0.0, 15.75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3T_1Space Polygon 21 - SMirro,"(0.0, 0.0)","(6.0, 0.0)","(5.95, -16.35)","(22.84, -16.7)","(43.05, -16.7)","(43.4, 140.2)","(-0.3, 140.2)","(0.0, 101.7)","(-32.5, 101.7)","(-32.3, 139.85)","(-75.2, 140.2)","(-75.55, -16.65)","(-38.55, -16.65)","(-38.55, -7.25)","(-38.55, -0.7)","(-32.5, 0.0)","(-32.45, 49.85)","(0.0, 49.85)",,,,,,,,,,,,,,,,,18
3T_1Space Polygon 22 - SMirro,"(0.0, 0.0)","(32.45, 0.0)","(32.45, 30.2)","(0.0, 30.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_1Space Polygon 23 - SMirro,"(0.0, 0.0)","(-0.05, -19.65)","(32.45, -19.65)","(32.45, 0.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_1Space Polygon 24 - SMirro,"(0.0, 0.0)","(9.7, 0.0)","(9.7, 9.8)","(18.5, 9.8)","(18.5, 16.4)","(-20.0, 16.4)","(-26.05, 15.7)","(-26.05, 9.15)","(0.0, 9.15)",,,,,,,,,,,,,,,,,,,,,,,,,,9
3T_1Space Polygon 27 - SMirro,"(0.0, 0.0)","(8.45, -0.15)","(8.8, 19.5)","(0.0, 19.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_1Space Polygon 1 - SMirro,"(0.0, 0.0)","(15.0, -15.0)","(14.8, 19.55)","(0.0, 19.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
